Var1,Var2,Overlap,Dissimilarity,Transfer_1,Transfer_2,Inoculum_1,Inoculum_2,Same_Inoculum,Same_Transfer
Glucose.2.2.1,Glucose.2.1.1,0.877353203049252,0.314161883338691,1,1,2,2,TRUE,TRUE
Glucose.2.3.1,Glucose.2.1.1,0.983670347612382,0.391344873031406,1,1,2,2,TRUE,TRUE
Glucose.2.4.1,Glucose.2.1.1,0.991699148896068,0.50880259443774,1,1,2,2,TRUE,TRUE
Glucose.2.5.1,Glucose.2.1.1,0.868132079851439,0.497646819716458,1,1,2,2,TRUE,TRUE
Glucose.2.6.1,Glucose.2.1.1,0.820291194490394,0.333560402702832,1,1,2,2,TRUE,TRUE
Glucose.2.7.1,Glucose.2.1.1,0.980518466976874,0.289357724324177,1,1,2,2,TRUE,TRUE
Glucose.2.8.1,Glucose.2.1.1,0.825742426769022,0.595867320283897,1,1,2,2,TRUE,TRUE
Glucose.6.1.1,Glucose.2.1.1,0.603617083585891,0.394691188573078,1,1,6,2,FALSE,TRUE
Glucose.6.2.1,Glucose.2.1.1,0.690709746589355,0.273457657679498,1,1,6,2,FALSE,TRUE
Glucose.6.3.1,Glucose.2.1.1,0.409579010108136,0.668190506359042,1,1,6,2,FALSE,TRUE
Glucose.6.4.1,Glucose.2.1.1,0.243407397174272,0.460828804746781,1,1,6,2,FALSE,TRUE
Glucose.6.5.1,Glucose.2.1.1,0.528988646893654,0.383427994296236,1,1,6,2,FALSE,TRUE
Glucose.6.6.1,Glucose.2.1.1,0.533426009850282,0.442262345485976,1,1,6,2,FALSE,TRUE
Glucose.6.7.1,Glucose.2.1.1,0.54065249193403,0.674105209680051,1,1,6,2,FALSE,TRUE
Glucose.6.8.1,Glucose.2.1.1,0.556852107160726,0.422369537337829,1,1,6,2,FALSE,TRUE
Glucose.2.1.2,Glucose.2.1.1,0.979737201138565,0.631140787784335,2,1,2,2,TRUE,FALSE
Glucose.2.2.2,Glucose.2.1.1,0.745175680013671,0.658101587702327,2,1,2,2,TRUE,FALSE
Glucose.2.3.2,Glucose.2.1.1,0.797535204129212,0.489425908166493,2,1,2,2,TRUE,FALSE
Glucose.2.4.2,Glucose.2.1.1,0.947168846293062,0.528960830531016,2,1,2,2,TRUE,FALSE
Glucose.2.5.2,Glucose.2.1.1,0.841744854430286,0.345269094395089,2,1,2,2,TRUE,FALSE
Glucose.2.6.2,Glucose.2.1.1,0.809004165770668,0.609603030544174,2,1,2,2,TRUE,FALSE
Glucose.2.7.2,Glucose.2.1.1,0.828860941070505,0.543124247276936,2,1,2,2,TRUE,FALSE
Glucose.2.8.2,Glucose.2.1.1,0.977854439647683,0.240619029916711,2,1,2,2,TRUE,FALSE
Glucose.6.1.2,Glucose.2.1.1,0.561105908653597,0.298021346924235,2,1,6,2,FALSE,FALSE
