ID,Run,Batch,Exp_Type,SampleNum,Plate,Row,Column,Experiment,Comm,Rep,Carbon,Conc,Transfer
S1_R2,R2,YaleYCGA_RQ5908,Rep1,1,1,A,1,T12-R4-2,X1,1,Citrate,0.07,12
S2_R2,R2,YaleYCGA_RQ5908,Rep1,2,1,A,2,T12-R4-2,X2,1,Citrate,0.07,12
S3_R2,R2,YaleYCGA_RQ5908,Rep1,3,1,A,3,T12-R4-2,X3,1,Citrate,0.07,12
S4_R2,R2,YaleYCGA_RQ5908,Rep1,4,1,A,4,T12-R4-2,X4,1,Citrate,0.07,12
S5_R2,R2,YaleYCGA_RQ5908,Rep1,5,1,A,5,T12-R4-2,X5,1,Citrate,0.07,12
S6_R2,R2,YaleYCGA_RQ5908,Rep1,6,1,A,6,T12-R4-2,X6,1,Citrate,0.07,12
S7_R2,R2,YaleYCGA_RQ5908,Rep1,7,1,A,7,T12-R4-2,X7,1,Citrate,0.07,12
S8_R2,R2,YaleYCGA_RQ5908,Rep1,8,1,A,8,T12-R4-2,X8,1,Citrate,0.07,12
S9_R2,R2,YaleYCGA_RQ5908,Rep1,9,1,A,9,T12-R4-2,X9,1,Citrate,0.07,12
S10_R2,R2,YaleYCGA_RQ5908,Rep1,10,1,A,10,T12-R4-2,X10,1,Citrate,0.07,12
S11_R2,R2,YaleYCGA_RQ5908,Rep1,11,1,A,11,T12-R4-2,X11,1,Citrate,0.07,12
S12_R2,R2,YaleYCGA_RQ5908,Rep1,12,1,A,12,T12-R4-2,X12,1,Citrate,0.07,12
S13_R2,R2,YaleYCGA_RQ5908,Rep1,13,1,B,1,T12-R4-2,X1,2,Citrate,0.07,12
S14_R2,R2,YaleYCGA_RQ5908,Rep1,14,1,B,2,T12-R4-2,X2,2,Citrate,0.07,12
S15_R2,R2,YaleYCGA_RQ5908,Rep1,15,1,B,3,T12-R4-2,X3,2,Citrate,0.07,12
S16_R2,R2,YaleYCGA_RQ5908,Rep1,16,1,B,4,T12-R4-2,X4,2,Citrate,0.07,12
S17_R2,R2,YaleYCGA_RQ5908,Rep1,17,1,B,5,T12-R4-2,X5,2,Citrate,0.07,12
S18_R2,R2,YaleYCGA_RQ5908,Rep1,18,1,B,6,T12-R4-2,X6,2,Citrate,0.07,12
S19_R2,R2,YaleYCGA_RQ5908,Rep1,19,1,B,7,T12-R4-2,X7,2,Citrate,0.07,12
S20_R2,R2,YaleYCGA_RQ5908,Rep1,20,1,B,8,T12-R4-2,X8,2,Citrate,0.07,12
S21_R2,R2,YaleYCGA_RQ5908,Rep1,21,1,B,9,T12-R4-2,X9,2,Citrate,0.07,12
S22_R2,R2,YaleYCGA_RQ5908,Rep1,22,1,B,10,T12-R4-2,X10,2,Citrate,0.07,12
S23_R2,R2,YaleYCGA_RQ5908,Rep1,23,1,B,11,T12-R4-2,X11,2,Citrate,0.07,12
S24_R2,R2,YaleYCGA_RQ5908,Rep1,24,1,B,12,T12-R4-2,X12,2,Citrate,0.07,12
S25_R2,R2,YaleYCGA_RQ5908,Rep1,25,1,C,1,T12-R4-2,X1,3,Citrate,0.07,12
S26_R2,R2,YaleYCGA_RQ5908,Rep1,26,1,C,2,T12-R4-2,X2,3,Citrate,0.07,12
S27_R2,R2,YaleYCGA_RQ5908,Rep1,27,1,C,3,T12-R4-2,X3,3,Citrate,0.07,12
S28_R2,R2,YaleYCGA_RQ5908,Rep1,28,1,C,4,T12-R4-2,X4,3,Citrate,0.07,12
S29_R2,R2,YaleYCGA_RQ5908,Rep1,29,1,C,5,T12-R4-2,X5,3,Citrate,0.07,12
S30_R2,R2,YaleYCGA_RQ5908,Rep1,30,1,C,6,T12-R4-2,X6,3,Citrate,0.07,12
S31_R2,R2,YaleYCGA_RQ5908,Rep1,31,1,C,7,T12-R4-2,X7,3,Citrate,0.07,12
S32_R2,R2,YaleYCGA_RQ5908,Rep1,32,1,C,8,T12-R4-2,X8,3,Citrate,0.07,12
S33_R2,R2,YaleYCGA_RQ5908,Rep1,33,1,C,9,T12-R4-2,X9,3,Citrate,0.07,12
S34_R2,R2,YaleYCGA_RQ5908,Rep1,34,1,C,10,T12-R4-2,X10,3,Citrate,0.07,12
S35_R2,R2,YaleYCGA_RQ5908,Rep1,35,1,C,11,T12-R4-2,X11,3,Citrate,0.07,12
S36_R2,R2,YaleYCGA_RQ5908,Rep1,36,1,C,12,T12-R4-2,X12,3,Citrate,0.07,12
S37_R2,R2,YaleYCGA_RQ5908,Rep1,37,1,D,1,T12-R4-2,X1,4,Citrate,0.07,12
S38_R2,R2,YaleYCGA_RQ5908,Rep1,38,1,D,2,T12-R4-2,X2,4,Citrate,0.07,12
