xs,mean_lm,mean_lowess,UCI_lm,UCI_lowess,LCI_lm,LCI_lowess,PValue
0,0.447275293550512,,0.528956699380208,,0.355002150704726,,0.248
0.002,0.447185944104012,0.292359724440466,0.528601155483037,0.363739657193488,0.355219070777305,0.225601344937563,0.248
0.004,0.447096594657512,0.296363512037755,0.528245611585866,0.368667766811481,0.355435990849884,0.231674055680391,0.248
0.006,0.447007245211012,0.299536776202793,0.527890067688695,0.368284647696649,0.355652910922463,0.236996800770359,0.248
0.008,0.446917895764512,0.302560034446055,0.527534523791524,0.368405428900888,0.355869830995042,0.241608017794645,0.248
0.01,0.446828546318012,0.305547318023916,0.527178979894353,0.370047661205677,0.35608675106762,0.246585691516313,0.248
0.012,0.446739196871512,0.308498438005495,0.526823435997182,0.371021498474215,0.356303671140199,0.251645443660818,0.248
0.014,0.446649847425012,0.311413205459911,0.526467892100011,0.371294254031869,0.356520591212778,0.256463591602772,0.248
0.016,0.446560497978512,0.314291431456283,0.526112348202841,0.371924898541009,0.356737511285357,0.261179213629352,0.248
0.018,0.446471148532012,0.31713292706373,0.52575680430567,0.373133348157385,0.356954431357936,0.265322592764537,0.248
0.02,0.446381799085513,0.319937503351369,0.525401260408499,0.374538448696069,0.357171351430515,0.269349731870541,0.248
0.022,0.446292449639012,0.32270497138832,0.525045716511328,0.375832887330141,0.357388271503093,0.273512862453337,0.248
0.024,0.446203100192512,0.325435142243701,0.524690172614157,0.377529427155239,0.357605191575672,0.276714082888873,0.248
0.026,0.446113750746013,0.328127826986632,0.524334628716986,0.378489561944338,0.357822111648251,0.280096625510609,0.248
0.028,0.446024401299513,0.33078283668623,0.523979084819815,0.378859602396128,0.35803903172083,0.283957824869823,0.248
0.03,0.445935051853013,0.333399982411614,0.523623540922644,0.379695598991747,0.358255951793409,0.287584942487996,0.248
0.032,0.445845702406513,0.335979075231904,0.523267997025473,0.380966984585481,0.358472871865988,0.291039861343225,0.248
0.034,0.445756352960013,0.338519927817841,0.522912453128303,0.382860823075907,0.358689791938566,0.294013029936175,0.248
0.036,0.445667003513513,0.341022363869805,0.522556909231132,0.384718464913851,0.358906712011145,0.297202614488608,0.248
0.038,0.445577654067013,0.343486200150313,0.522201365333961,0.3865397652486,0.359123632083724,0.300562640122908,0.248
0.04,0.445488304620513,0.345911261448484,0.52184582143679,0.387822377513481,0.359340552156303,0.303052412500355,0.248
0.042,0.445398955174013,0.348297409650026,0.521490277539619,0.389490400330107,0.359557472228882,0.304964724459533,0.248
0.044,0.445309605727513,0.350644541310304,0.521134733642448,0.391789417374578,0.359774392301461,0.307383878016617,0.248
0.046,0.445220256281013,0.352952549740369,0.520779189745277,0.393845093938783,0.359991312374039,0.310710577060614,0.248
0.048,0.445130906834513,0.355221314302494,0.520423645848106,0.396023665719911,0.360208232446618,0.313350413549093,0.248
0.05,0.445041557388013,0.357450675942792,0.520068101950935,0.398065299085384,0.360423539043394,0.316101229580788,0.248
0.052,0.444952207941513,0.359640428938234,0.519712558053764,0.40031015355297,0.36063839218896,0.318955392811543,0.248
0.054,0.444862858495013,0.361790281353758,0.519385594588032,0.402406645800107,0.360853245334526,0.321899155631441,0.248
