xs,mean_lm,mean_lowess,UCI_lm,UCI_lowess,LCI_lm,LCI_lowess,PValue
0,0.352906657242153,,0.561618315814442,,0.154103754445515,,0.652
0.002,0.353060728856918,0.256597352863507,0.561103337975323,0.332056281214808,0.154863876657237,0.187935874390599,0.652
0.004,0.353214800471682,0.26498947048644,0.560588360136204,0.337226100174427,0.155623998868958,0.19943807372229,0.652
0.006,0.353368872086447,0.273265534533776,0.560073382297085,0.342552799861551,0.156384121080679,0.211232302062817,0.652
0.008,0.353522943701211,0.281375957925541,0.559558404457966,0.347028220924276,0.1571442432924,0.2219302080091,0.652
0.01,0.353677015315976,0.289315830674621,0.559043426618847,0.352850760985132,0.157904365504122,0.231490234931897,0.652
0.012,0.35383108693074,0.297080242793899,0.558528448779728,0.358600685871846,0.158664487715843,0.241475267372784,0.652
0.014,0.353985158545505,0.304664301804961,0.558013470940609,0.364247835269655,0.159424609927564,0.250270159676784,0.652
0.016,0.354139230160269,0.312063320489183,0.55749849310149,0.369211619432989,0.160184732139285,0.259976077533934,0.652
0.018,0.354293301775034,0.319273092575787,0.556983515262371,0.374392591170912,0.160944854351007,0.268533305477257,0.652
0.02,0.354447373389798,0.326291870567839,0.556468537423252,0.379693530444548,0.161704976562728,0.277165728236202,0.652
0.022,0.354601445004563,0.333120407064085,0.555953559584133,0.384379702412093,0.162465098774449,0.285503300379817,0.652
0.024,0.354755516619327,0.339761379666777,0.555438581745015,0.389519101733911,0.163225220986171,0.294495660422604,0.652
0.026,0.354909588234092,0.346217754669198,0.554923603905896,0.394220975104299,0.163985343197892,0.302306304753327,0.652
0.028,0.355063659848856,0.352492079519183,0.554408626066777,0.399145817509303,0.164745465409613,0.308945397894723,0.652
0.03,0.355217731463621,0.358587628723567,0.553893648227658,0.404700117058853,0.165505587621334,0.315723810817153,0.652
0.032,0.355371803078385,0.364507605100743,0.553378670388539,0.410002330313208,0.166265709833056,0.322947104299529,0.652
0.034,0.355525874693149,0.370255042630483,0.55286369254942,0.415748692810865,0.167025832044777,0.329512741451699,0.652
0.036,0.355679946307914,0.375832378691902,0.552348714710301,0.421833861666582,0.167785954256498,0.335400931316765,0.652
0.038,0.355834017922678,0.381242675942864,0.551833736871182,0.427753742240915,0.168546076468219,0.339970239063566,0.652
0.04,0.355988089537443,0.386487815143405,0.551318759032063,0.433791269656944,0.169306198679941,0.344635609976662,0.652
0.042,0.356142161152207,0.391566321733826,0.550803781192944,0.439216435373588,0.170066320891662,0.349258260093559,0.652
0.044,0.356296232766972,0.396476750232356,0.550288803353825,0.44496193581279,0.170826443103383,0.353896897406493,0.652
0.046,0.356450304381736,0.401218141398162,0.549773825514706,0.449846974616699,0.171586565315105,0.358120571187498,0.652
0.048,0.356604375996501,0.405786435710009,0.549258847675587,0.454749383062851,0.172346687526826,0.361348600859325,0.652
0.05,0.356758447611265,0.410178198664786,0.548743869836468,0.45956348084099,0.173106809738547,0.365728166543633,0.652
0.052,0.35691251922603,0.414390066139841,0.548228891997349,0.465241392288643,0.173866931950268,0.368874504787215,0.652
0.054,0.357066590840794,0.418424068100099,0.54771391415823,0.470874063674393,0.17462705416199,0.370758117195145,0.652
0.056,0.357220662455559,0.422278860327726,0.547198936319111,0.474686997658356,0.175387176373711,0.373645473012404,0.652
0.058,0.357374734070323,0.425954170159074,0.546683958479992,0.479242859195496,0.176147298585432,0.376789776226093,0.652
0.06,0.357528805685088,0.429449158575568,0.546168980640873,0.482960420176211,0.176907420797153,0.379701942720832,0.652
0.062,0.357682877299852,0.432764878695062,0.545654002801754,0.485835979008462,0.177667543008875,0.382808943388019,0.652
0.064,0.357836948914617,0.435898351238747,0.545139024962635,0.489355440971532,0.178427665220596,0.385984995926121,0.652
0.066,0.357991020529381,0.438847913889027,0.544624047123516,0.493074914539937,0.179187787432317,0.388739812548307,0.652
0.068,0.358145092144146,0.441612440709349,0.544109069284397,0.497059639524459,0.179947909644039,0.391356590646127,0.652
0.07,0.35829916375891,0.444188307388329,0.543594091445278,0.500710182679879,0.18070803185576,0.393816279144012,0.652
0.072,0.358453235373675,0.446573908950798,0.54307911360616,0.503739230540734,0.181468154067481,0.395806677857643,0.652
