Comparison,Threshold,Run,t,p
GlcGlc-CitCit,0.9,1,-6.11410609103452,1.71355372954085e-09
GlcGlc-GlcCit,0.9,1,-21.4481444399327,5.57284176152367e-88
CitCit-GlcCit,0.9,1,-9.3294814643265,2.43995809087555e-19
GlcGlc-CitCit,0.91,1,-7.13014567488576,3.10240505206447e-12
GlcGlc-GlcCit,0.91,1,-21.3570069522029,6.63135667751512e-87
CitCit-GlcCit,0.91,1,-7.97220177316869,9.55371425119577e-15
GlcGlc-CitCit,0.92,1,-6.66836105046165,6.61094387988327e-11
GlcGlc-GlcCit,0.92,1,-21.8904551285216,1.30871086811342e-89
CitCit-GlcCit,0.92,1,-8.99762850069337,4.69262620685777e-18
GlcGlc-CitCit,0.93,1,-4.67937711618071,3.74667342368467e-06
GlcGlc-GlcCit,0.93,1,-20.6403083520417,1.62231713222177e-80
CitCit-GlcCit,0.93,1,-10.5720304272592,1.45047177212166e-23
GlcGlc-CitCit,0.94,1,-3.28850603978871,0.00108911775075693
GlcGlc-GlcCit,0.94,1,-19.6328480438983,4.14371982563752e-73
CitCit-GlcCit,0.94,1,-11.0550729587953,5.77827739277144e-25
GlcGlc-CitCit,0.95,1,-2.67306024389276,0.00784528563466481
GlcGlc-GlcCit,0.95,1,-20.3018716217496,3.55299586841335e-76
CitCit-GlcCit,0.95,1,-11.917962421076,8.12183748316759e-28
GlcGlc-CitCit,0.96,1,-1.88657676559402,0.0601360822143696
GlcGlc-GlcCit,0.96,1,-20.184417178247,8.38644797701396e-74
CitCit-GlcCit,0.96,1,-13.0658239134095,1.5243043064023e-31
GlcGlc-CitCit,0.97,1,-2.74770178464257,0.00638758442618157
GlcGlc-GlcCit,0.97,1,-21.0612071568126,1.39062429334162e-75
CitCit-GlcCit,0.97,1,-12.8380989904287,1.91852596479755e-30
GlcGlc-CitCit,0.98,1,-2.3460333376717,0.019965723781157
GlcGlc-GlcCit,0.98,1,-20.7047789778445,5.09307613523695e-69
CitCit-GlcCit,0.98,1,-11.8270839956,2.49760062891986e-25
GlcGlc-CitCit,0.99,1,2.29452470208666,0.022707910415183
GlcGlc-GlcCit,0.99,1,-20.2100088689631,1.08720648965694e-58
CitCit-GlcCit,0.99,1,-23.2015860736506,4.13036333777039e-59
GlcGlc-CitCit,0.9925,1,1.77108396650475,0.0780593532442576
GlcGlc-GlcCit,0.9925,1,-19.5277309947827,3.5606057294653e-51
CitCit-GlcCit,0.9925,1,-22.4550800466934,6.23322256180043e-52
GlcGlc-CitCit,0.995,1,0.958208231296059,0.339490287043994
GlcGlc-GlcCit,0.995,1,-17.3463226786101,2.93996786535256e-41
CitCit-GlcCit,0.995,1,-20.1326862063004,2.70547959604695e-41
GlcGlc-CitCit,0.9,2,3.33468927151132,0.000909101815770832
GlcGlc-GlcCit,0.9,2,-12.617107578406,4.00622771719056e-34
CitCit-GlcCit,0.9,2,-13.8978576009747,7.20746834982306e-37
GlcGlc-CitCit,0.91,2,2.9682920907141,0.00312937757252868
GlcGlc-GlcCit,0.91,2,-12.6116073556523,6.48383631842711e-34
CitCit-GlcCit,0.91,2,-13.539379742164,5.41877847702016e-35
GlcGlc-CitCit,0.92,2,3.45393062428856,0.000597352932650214
GlcGlc-GlcCit,0.92,2,-11.9082874411713,2.01194381548947e-30
CitCit-GlcCit,0.92,2,-13.8900463932418,3.00281439248425e-36
GlcGlc-CitCit,0.93,2,2.88939982470711,0.00402415706151749
GlcGlc-GlcCit,0.93,2,-13.603670824167,6.90414402575705e-38
CitCit-GlcCit,0.93,2,-15.3241455417446,5.23562760285631e-42
GlcGlc-CitCit,0.94,2,3.5583891161333,0.00040890385769527
GlcGlc-GlcCit,0.94,2,-12.4381882108082,5.29089847734584e-32
CitCit-GlcCit,0.94,2,-15.7442777505478,2.85334926356534e-43
GlcGlc-CitCit,0.95,2,4.35614408345996,1.63680831153511e-05
GlcGlc-GlcCit,0.95,2,-11.9736000942457,1.27509068205844e-29
CitCit-GlcCit,0.95,2,-16.5373970725823,9.05661618072754e-46
