Comparison,Threshold,Run,t,p
Both-One,0.982829201728452,1,3.59227137134076,0.009586176661161
Both-Neither,0.982829201728452,1,4.69655734756439,0.00498943664293809
One-Neither,0.982829201728452,1,2.03865067567435,0.0645860284070575
Both-One,0.982829201728452,2,5.47306555929924,1.26581012955921e-06
Both-Neither,0.982829201728452,2,15.3881723413481,1.91513438119928e-21
One-Neither,0.982829201728452,2,6.86109451502796,7.16182348773411e-07
Both-One,0.982829201728452,3,-1.52509712425408,0.137690024336156
Both-Neither,0.982829201728452,3,3.3732150987459,0.00349116706427031
One-Neither,0.982829201728452,3,6.2907440923302,2.90727447540557e-06
Both-One,0.982829201728452,4,5.48968512623813,6.06384018358783e-06
Both-Neither,0.982829201728452,4,5.75554155990949,5.27902835078016e-06
One-Neither,0.982829201728452,4,-0.936430269004323,0.369979692420364
Both-One,0.982829201728452,5,6.53471332908255,3.07707506801972e-05
Both-Neither,0.982829201728452,5,5.86257425741449,7.80306888937722e-05
One-Neither,0.982829201728452,5,-2.37884358777826,0.0210152572124483
Both-One,0.982829201728452,6,9.41599619435643,2.65781356992234e-14
Both-Neither,0.982829201728452,6,13.8734676743206,4.55916905281693e-23
One-Neither,0.982829201728452,6,3.22682891675218,0.00326434406368686
Both-One,0.982829201728452,7,9.26790280265644,1.23395729850396e-12
Both-Neither,0.982829201728452,7,12.9481264885705,1.48992864670374e-18
One-Neither,0.982829201728452,7,3.29011790900154,0.00320644621871168
Both-One,0.982829201728452,8,0.601675624594365,0.552807807410474
Both-Neither,0.982829201728452,8,10.7014322131897,2.81990612709279e-12
One-Neither,0.982829201728452,8,27.6965219625039,8.63322256235593e-40
Both-One,0.982829201728452,9,2.93506718447942,0.00546983370931442
Both-Neither,0.982829201728452,9,5.96030250053991,2.26344333201206e-06
One-Neither,0.982829201728452,9,3.78984451990748,0.00101009934032865
Both-One,0.982829201728452,10,1.15791795602017,0.252040314538566
Both-Neither,0.982829201728452,10,8.34130536890013,6.50869941092785e-12
One-Neither,0.982829201728452,10,6.05613906986477,7.24286688768201e-07
Both-One,0.982829201728452,11,6.82678175332995,8.31764705418654e-09
Both-Neither,0.982829201728452,11,12.9297000032919,2.97802479722167e-22
One-Neither,0.982829201728452,11,4.32414307594433,0.000478362217650243
Both-One,0.982829201728452,12,1.28453389759165,0.220212709927324
Both-Neither,0.982829201728452,12,4.43524420059024,0.00211622050454872
One-Neither,0.982829201728452,12,4.82008304155738,0.000381126527121561
Both-One,0.982829201728452,13,1.51103835001052,0.152614885312265
Both-Neither,0.982829201728452,13,7.43136648645618,5.92048266621831e-07
One-Neither,0.982829201728452,13,2.87665633718664,0.0199554678309057
Both-One,0.982829201728452,14,8.46116754250742,2.359093934425e-10
Both-Neither,0.982829201728452,14,12.4975023236646,6.94510782613195e-12
One-Neither,0.982829201728452,14,3.06891142853471,0.00484007925392658
Both-One,0.982829201728452,15,5.18330926793958,2.6443250244261e-06
Both-Neither,0.982829201728452,15,10.0034196341698,2.23210889042066e-15
One-Neither,0.982829201728452,15,4.75552835694429,0.00020860356460614
Both-One,0.982829201728452,16,2.58047395034732,0.049713072280645
Both-Neither,0.982829201728452,16,10.3572138318971,3.33974764366498e-15
One-Neither,0.982829201728452,16,0.935742911727154,0.40137612525391
Both-One,0.982829201728452,17,3.74098175392215,0.000835809482963161
Both-Neither,0.982829201728452,17,5.36430460611018,1.5291634944342e-05
One-Neither,0.982829201728452,17,3.46811398923481,0.000955784434555898
Both-One,0.982829201728452,18,9.2903660294245,2.0541338818162e-11
Both-Neither,0.982829201728452,18,14.0721049267892,1.18781897648483e-15
One-Neither,0.982829201728452,18,7.17571669398471,2.44004502547377e-08
Both-One,0.982829201728452,19,7.47927853352598,2.13965658535431e-07
Both-Neither,0.982829201728452,19,10.6528755393301,3.01725558338067e-09
One-Neither,0.982829201728452,19,5.25920416139566,4.40308201681309e-06
Both-One,0.982829201728452,20,8.68511145456984,2.22134883419599e-08
Both-Neither,0.982829201728452,20,9.82363479848744,1.89051923017903e-08
One-Neither,0.982829201728452,20,1.32613158205087,0.205456065340864
