Comparison,Threshold,Run,t,p
Both-One,0.9,1,2.90196902505014,0.00646700268570123
Both-Neither,0.9,1,8.62220156868281,1.31298793057099e-06
One-Neither,0.9,1,3.91452270046844,0.000624877766470604
Both-One,0.91,1,2.90196902505014,0.00646700268570123
Both-Neither,0.91,1,8.62220156868281,1.31298793057099e-06
One-Neither,0.91,1,3.91452270046844,0.000624877766470604
Both-One,0.92,1,3.36353056047933,0.00200261677862138
Both-Neither,0.92,1,8.62220156868281,1.31298793057099e-06
One-Neither,0.92,1,3.72138337928955,0.00106999455783759
Both-One,0.93,1,3.51832083936852,0.00135943749018959
Both-Neither,0.93,1,9.02244678349249,1.42834620262586e-06
One-Neither,0.93,1,3.47236843715001,0.00207209399746582
Both-One,0.94,1,3.51832083936852,0.00135943749018959
Both-Neither,0.94,1,9.02244678349249,1.42834620262586e-06
One-Neither,0.94,1,3.47236843715001,0.00207209399746582
Both-One,0.95,1,3.13062812809937,0.00387239164933807
Both-Neither,0.95,1,9.02244678349249,1.42834620262586e-06
One-Neither,0.95,1,3.17148740420635,0.00488884427221546
Both-One,0.96,1,3.13062812809937,0.00387239164933807
Both-Neither,0.96,1,9.02244678349249,1.42834620262586e-06
One-Neither,0.96,1,3.17148740420635,0.00488884427221546
Both-One,0.97,1,6.71477367186662,2.17039289222346e-06
Both-Neither,0.97,1,9.02462151630211,1.41923141745102e-06
One-Neither,0.97,1,1.92052443144469,0.0743555130354128
Both-One,0.98,1,5.38469448390072,0.000164361459684654
Both-Neither,0.98,1,7.07482395868848,8.63396157163965e-05
One-Neither,0.98,1,2.11128177423928,0.0571918657482395
Both-One,0.99,1,1.27059419932288,0.292679549019594
Both-Neither,0.99,1,2.96155965251776,0.0581922195368728
One-Neither,0.99,1,14.5838036789905,9.25319558999314e-15
Both-One,0.9925,1,-6.57359363333238,0.00277166881151509
Both-Neither,0.9925,1,12.2927802659423,2.60495410474578e-23
One-Neither,0.9925,1,13.8348146331745,4.30926047237063e-15
Both-One,0.995,1,,
Both-Neither,0.995,1,,
One-Neither,0.995,1,,
Both-One,0.9,2,1.49826355478498,0.138258701328452
Both-Neither,0.9,2,14.291040531274,1.40000300890842e-21
One-Neither,0.9,2,8.59048660241831,8.13848147266127e-11
Both-One,0.91,2,1.49826355478498,0.138258701328452
Both-Neither,0.91,2,14.291040531274,1.40000300890842e-21
One-Neither,0.91,2,8.59048660241831,8.13848147266127e-11
Both-One,0.92,2,2.04284013856256,0.0446215533168769
Both-Neither,0.92,2,14.8888841063517,1.91255009039482e-22
One-Neither,0.92,2,8.80033112578932,6.25600086836676e-11
Both-One,0.93,2,2.44666608415187,0.0168883004498029
Both-Neither,0.93,2,14.8888841063517,1.91255009039482e-22
One-Neither,0.93,2,8.37881685342168,3.50176257042098e-10
Both-One,0.94,2,2.36154332517854,0.0212199261053675
Both-Neither,0.94,2,14.8888841063517,1.91255009039482e-22
One-Neither,0.94,2,7.91875197618347,2.26264549350995e-09
Both-One,0.95,2,2.19006361808974,0.0324923363899624
Both-Neither,0.95,2,15.1033291461579,1.43277749287999e-22
One-Neither,0.95,2,7.85170565304034,4.43374196822341e-09
Both-One,0.96,2,2.3602624310019,0.0216604445051608
Both-Neither,0.96,2,15.670990813327,3.14092023986448e-23
One-Neither,0.96,2,7.85170565304034,4.43374196822341e-09
Both-One,0.97,2,5.85882680447246,2.11719956351624e-07
Both-Neither,0.97,2,15.2132597584159,4.09966459002119e-22
One-Neither,0.97,2,6.9106009435553,2.80619725428493e-07
Both-One,0.98,2,5.47975866920573,1.27698204353129e-06
Both-Neither,0.98,2,15.6040573935289,6.19113930788039e-22
One-Neither,0.98,2,6.85675675344571,7.32865535496341e-07
Both-One,0.99,2,4.00971401715794,0.000221239150297856
Both-Neither,0.99,2,9.84413597481891,5.82726480110446e-11
One-Neither,0.99,2,6.04767084018238,9.56023484727321e-06
Both-One,0.9925,2,3.71769125952986,0.000626780891454319
Both-Neither,0.9925,2,9.43989069034422,3.336647757215e-10
One-Neither,0.9925,2,5.05814034958375,0.00015101094639651
Both-One,0.995,2,,
Both-Neither,0.995,2,,
