Comparison,Threshold,Run,t,p
GlcGlc-CitCit,0.98,1,1.74939855944598,0.0818282209909783
GlcGlc-GlcCit,0.98,1,0.318374577007421,0.750657953725046
CitCit-GlcCit,0.98,1,-1.09600022407244,0.275116301824048
GlcGlc-CitCit,0.98,2,3.26113214838773,0.00142995550760302
GlcGlc-GlcCit,0.98,2,2.52345203566314,0.0128525229432987
CitCit-GlcCit,0.98,2,-0.636398596877185,0.525850859240388
GlcGlc-CitCit,0.98,3,3.09724890509412,0.00250601355613661
GlcGlc-GlcCit,0.98,3,2.82430385598114,0.00537155684143537
CitCit-GlcCit,0.98,3,-0.28176062534355,0.7787978138316
GlcGlc-CitCit,0.98,4,-0.0312354551363172,0.975115141651666
GlcGlc-GlcCit,0.98,4,1.54423346103792,0.124780579414166
CitCit-GlcCit,0.98,4,1.82092619318543,0.0717924441048482
GlcGlc-CitCit,0.98,5,1.74994185179935,0.0851109960477666
GlcGlc-GlcCit,0.98,5,-0.602765148176576,0.548265948095682
CitCit-GlcCit,0.98,5,-1.92576442659508,0.0575033213263667
GlcGlc-CitCit,0.98,6,1.69131386971112,0.0933413112603986
GlcGlc-GlcCit,0.98,6,1.45039295864976,0.14954806708597
CitCit-GlcCit,0.98,6,0.105669941790889,0.916135167566434
GlcGlc-CitCit,0.98,7,0.358186726678595,0.721470976167279
GlcGlc-GlcCit,0.98,7,-1.90684739241639,0.0596374979885758
CitCit-GlcCit,0.98,7,-1.83822774586945,0.0703578324406858
GlcGlc-CitCit,0.98,8,2.65192877621954,0.0100283650817144
GlcGlc-GlcCit,0.98,8,-0.43200362438371,0.667070046233531
CitCit-GlcCit,0.98,8,-3.25759794523051,0.00221484733446643
GlcGlc-CitCit,0.98,9,1.00145509433354,0.319668203103534
GlcGlc-GlcCit,0.98,9,-0.177116893196201,0.859766319974039
CitCit-GlcCit,0.98,9,-1.38197749171222,0.169743071461454
GlcGlc-CitCit,0.98,10,1.85531238288234,0.066361820851561
GlcGlc-GlcCit,0.98,10,-0.387980718485268,0.698453009805638
CitCit-GlcCit,0.98,10,-2.1674988026974,0.0324217035447112
GlcGlc-CitCit,0.98,11,-1.59755297664755,0.114773361811301
GlcGlc-GlcCit,0.98,11,0.0519036166834609,0.958756895601061
CitCit-GlcCit,0.98,11,1.25136437182982,0.214533246410659
GlcGlc-CitCit,0.98,12,0.0980339338168744,0.922100332501319
GlcGlc-GlcCit,0.98,12,-1.84395482146755,0.066725502272553
CitCit-GlcCit,0.98,12,-1.83076306669809,0.0703931655765766
GlcGlc-CitCit,0.98,13,3.43074187923068,0.00098440211392928
GlcGlc-GlcCit,0.98,13,0.462203543954629,0.645242136180584
CitCit-GlcCit,0.98,13,-2.32098671026406,0.023268085670743
GlcGlc-CitCit,0.98,14,-0.0215461026002579,0.982837229636109
GlcGlc-GlcCit,0.98,14,0.837523620925042,0.403571438555828
CitCit-GlcCit,0.98,14,0.97924076536481,0.32910932903167
GlcGlc-CitCit,0.98,15,-0.583729914913087,0.560953691333855
GlcGlc-GlcCit,0.98,15,-0.211306161189072,0.833156328094617
CitCit-GlcCit,0.98,15,0.300070091321182,0.764894969804919
GlcGlc-CitCit,0.98,16,-0.679104117483041,0.49845092691211
GlcGlc-GlcCit,0.98,16,0.903969830549482,0.368836016076406
CitCit-GlcCit,0.98,16,1.49466275882,0.139536091875056
GlcGlc-CitCit,0.98,17,1.51652277536957,0.132126373887004
GlcGlc-GlcCit,0.98,17,0.6424582302531,0.521523193924058
CitCit-GlcCit,0.98,17,-0.856954918261183,0.393408531797457
GlcGlc-CitCit,0.98,18,1.84634120390817,0.0687239220654596
GlcGlc-GlcCit,0.98,18,1.74248159458937,0.0829021645970937
CitCit-GlcCit,0.98,18,-0.59722970240221,0.552601335328274
GlcGlc-CitCit,0.98,19,4.12026942118528,8.20839840094012e-05
GlcGlc-GlcCit,0.98,19,0.231892691841632,0.817193923716421
CitCit-GlcCit,0.98,19,-2.68428956373072,0.00895854827395012
GlcGlc-CitCit,0.98,20,2.8645817462881,0.00496127443984413
GlcGlc-GlcCit,0.98,20,-1.31621460309074,0.193531756933021
CitCit-GlcCit,0.98,20,-3.37829292100151,0.00148861473150339
GlcGlc-CitCit,0.98,21,0.452210816898915,0.65210076235105
GlcGlc-GlcCit,0.98,21,-1.41362186968522,0.16409653766046
CitCit-GlcCit,0.98,21,-1.65942794984473,0.103137364989691
GlcGlc-CitCit,0.98,22,2.68384993828711,0.00893834751821455
GlcGlc-GlcCit,0.98,22,0.924223779980125,0.357676842048719
CitCit-GlcCit,0.98,22,-2.02647309767234,0.0450388134514827
GlcGlc-CitCit,0.98,23,1.5646830726456,0.120783356127882
GlcGlc-GlcCit,0.98,23,3.6670187780669,0.000380113945658144
CitCit-GlcCit,0.98,23,1.84500737517695,0.0678850164414255
GlcGlc-CitCit,0.98,24,0.0976028318341901,0.922407372454619
GlcGlc-GlcCit,0.98,24,-1.40458036780719,0.162908808998235
