Comparison,Threshold,Run,t,p
Both-One,0.897032067318627,1,3.93645600630771,0.00286230562464028
Both-Neither,0.897032067318627,1,1.22066554321057,0.237707438856427
One-Neither,0.897032067318627,1,-2.68906688397214,0.0220988661325334
Both-One,0.897032067318627,2,8.13407265220983,1.78503185664632e-13
Both-Neither,0.897032067318627,2,6.09913704115657,2.05625186253446e-08
One-Neither,0.897032067318627,2,-0.80359534902512,0.425290873247535
Both-One,0.897032067318627,3,5.71589902022254,1.89761824873217e-07
Both-Neither,0.897032067318627,3,1.7526787071372,0.119173606860096
One-Neither,0.897032067318627,3,-2.7595932987275,0.0221726498610825
Both-One,0.897032067318627,4,4.32251082802299,5.48740997138328e-05
Both-Neither,0.897032067318627,4,5.3071793336254,5.16759283088517e-06
One-Neither,0.897032067318627,4,0.636398532445898,0.530135151264213
Both-One,0.897032067318627,5,4.00992585107575,0.000244773137170479
Both-Neither,0.897032067318627,5,1.50858587765492,0.194567900265076
One-Neither,0.897032067318627,5,-0.611611873219852,0.563467740645529
Both-One,0.897032067318627,6,1.24899622626625,0.214218603106655
Both-Neither,0.897032067318627,6,2.08162650959877,0.039340431761488
One-Neither,0.897032067318627,6,0.514232654186271,0.608240218791255
Both-One,0.897032067318627,7,5.5490140492611,1.53070515814235e-06
Both-Neither,0.897032067318627,7,3.40098264347047,0.00125388152334179
One-Neither,0.897032067318627,7,-2.37010528619163,0.0245909683681207
Both-One,0.897032067318627,8,7.12053985878874,3.44793125358327e-10
Both-Neither,0.897032067318627,8,4.2232487058343,6.63992875070057e-05
One-Neither,0.897032067318627,8,-2.62342574738993,0.0105964521609154
Both-One,0.897032067318627,9,4.74318140158118,1.61495451604326e-05
Both-Neither,0.897032067318627,9,1.66049083977142,0.100286601796154
One-Neither,0.897032067318627,9,-3.74225552529994,0.000727664041836137
Both-One,0.897032067318627,10,6.77224341628359,9.08927032145129e-06
Both-Neither,0.897032067318627,10,2.71954108136377,0.0574471723697568
One-Neither,0.897032067318627,10,-1.84446093163467,0.1152965542764
Both-One,0.897032067318627,11,1.82095110596906,0.0732383199823666
Both-Neither,0.897032067318627,11,2.36900303863894,0.0215378656976846
One-Neither,0.897032067318627,11,0.586839386789456,0.559954148842811
Both-One,0.897032067318627,12,2.47570204863142,0.0239418922954486
Both-Neither,0.897032067318627,12,0.0453953888695987,0.965216686096192
One-Neither,0.897032067318627,12,-1.82697246477589,0.0877102233572021
Both-One,0.897032067318627,13,4.47341719352437,3.26590604114678e-05
Both-Neither,0.897032067318627,13,2.42642515353013,0.0165414050180107
One-Neither,0.897032067318627,13,-3.10051019833768,0.0034026434963006
Both-One,0.897032067318627,14,4.01207543386496,0.000125124377168862
Both-Neither,0.897032067318627,14,3.7021982418891,0.000470767524602726
One-Neither,0.897032067318627,14,0.0625181459141177,0.95039757833144
Both-One,0.897032067318627,15,4.50455320952699,3.27478628224709e-05
Both-Neither,0.897032067318627,15,2.88564687216025,0.00870352752377215
One-Neither,0.897032067318627,15,-0.645892794220805,0.523884042753642
Both-One,0.897032067318627,16,3.96828288219361,0.000115565305243553
Both-Neither,0.897032067318627,16,1.05583094205214,0.292717499799696
One-Neither,0.897032067318627,16,-3.33519865070911,0.0012290491827004
Both-One,0.897032067318627,17,2.12933602995182,0.0359097676701832
Both-Neither,0.897032067318627,17,0.631929865668557,0.529679358608347
One-Neither,0.897032067318627,17,-1.82757074533335,0.073645103936851
Both-One,0.897032067318627,18,2.41424894437127,0.021988232995467
Both-Neither,0.897032067318627,18,-0.746447984637064,0.465001603599992
One-Neither,0.897032067318627,18,-2.43174249187465,0.0220374945752509
Both-One,0.897032067318627,19,4.89214960407727,4.40583956072112e-06
Both-Neither,0.897032067318627,19,4.48319774677258,7.15681334402933e-05
One-Neither,0.897032067318627,19,0.847136598245465,0.403453895479006
Both-One,0.897032067318627,20,8.43185165951587,2.74727171579695e-13
Both-Neither,0.897032067318627,20,2.47500363599802,0.0153712622097169
One-Neither,0.897032067318627,20,-6.40798574166863,8.67226596236665e-08
Both-One,0.897032067318627,21,1.42359431230128,0.158399981316418
Both-Neither,0.897032067318627,21,0.419091408568336,0.675898499260484
One-Neither,0.897032067318627,21,-1.11418669218733,0.269024635396467
Both-One,0.897032067318627,22,4.44487632553878,1.72879681086239e-05
Both-Neither,0.897032067318627,22,2.73767817223867,0.0107664251849637
One-Neither,0.897032067318627,22,-0.858749919127221,0.397095973617537
Both-One,0.897032067318627,23,3.96743685824209,0.000207346179312562
Both-Neither,0.897032067318627,23,4.77725273687678,1.47928158992404e-05
One-Neither,0.897032067318627,23,-0.475033055824704,0.637567294398142
Both-One,0.897032067318627,24,4.02117183241401,0.000242478180625418
Both-Neither,0.897032067318627,24,2.58497714090505,0.0132050677143326
One-Neither,0.897032067318627,24,-1.86731298379126,0.0736893069465386
Both-One,0.897032067318627,25,3.20510174075252,0.00189081838660248
Both-Neither,0.897032067318627,25,1.71836103980701,0.0898889209426091
One-Neither,0.897032067318627,25,-1.58375767234322,0.118343456451545
Both-One,0.897032067318627,26,6.38407554415926,1.00447012109635e-08
Both-Neither,0.897032067318627,26,4.36546137958253,5.83966283217134e-05
One-Neither,0.897032067318627,26,-1.21639031861375,0.22913886100084
Both-One,0.897032067318627,27,4.89848601242724,7.73593526405455e-06
Both-Neither,0.897032067318627,27,1.86536324772552,0.0652706206484762
One-Neither,0.897032067318627,27,-3.4156500491689,0.00119055080482676
Both-One,0.897032067318627,28,2.82980675752687,0.00567394865362968
Both-Neither,0.897032067318627,28,-2.86537148486524,0.00498195265680662
One-Neither,0.897032067318627,28,-9.82273048166864,1.68664410438845e-10
Both-One,0.897032067318627,29,3.16038503311713,0.00284702585459563
Both-Neither,0.897032067318627,29,1.71884462936524,0.0892507739176923
One-Neither,0.897032067318627,29,-2.31573862450657,0.0295038234639833
Both-One,0.897032067318627,30,5.49897956504924,7.54260715806483e-06
Both-Neither,0.897032067318627,30,3.8592418958107,0.000758424663028138
One-Neither,0.897032067318627,30,-1.82761739032222,0.0800696051536879
Both-One,0.897032067318627,31,3.28125022947976,0.00201758189258436
Both-Neither,0.897032067318627,31,2.44903822676022,0.0287328691322306
One-Neither,0.897032067318627,31,0.113788612908685,0.910799267331808
Both-One,0.897032067318627,32,3.71010485350927,0.000784291486294565
Both-Neither,0.897032067318627,32,3.77916622834478,0.000683525361602931
One-Neither,0.897032067318627,32,0.166505350702191,0.868747846783524
Both-One,0.897032067318627,33,4.28532951972644,0.000137329951108733
Both-Neither,0.897032067318627,33,4.51580183866497,2.85322077967506e-05
One-Neither,0.897032067318627,33,-0.692489488503851,0.492457170687048
Both-One,0.897032067318627,34,8.38327578164539,9.65238439679179e-15
Both-Neither,0.897032067318627,34,5.79935721463793,2.56651728883738e-08
One-Neither,0.897032067318627,34,-2.42309297906797,0.0169670235806031
Both-One,0.897032067318627,35,3.07921678919956,0.00455074309907706
Both-Neither,0.897032067318627,35,1.65753199164596,0.107780180053302
One-Neither,0.897032067318627,35,-1.59263497675013,0.120830679872334
Both-One,0.897032067318627,36,3.21076776270376,0.00171135884952917
