Comparison,Threshold,Run,t,p
Both-One,0.933022515351376,1,3.85616441439747,0.000304451934173484
Both-Neither,0.933022515351376,1,5.21786837198864,6.65102139466751e-07
One-Neither,0.933022515351376,1,0.644531417054557,0.521244529648469
Both-One,0.933022515351376,2,6.18701150806137,3.13801366713824e-08
Both-Neither,0.933022515351376,2,8.15335957014097,9.28296581440253e-13
One-Neither,0.933022515351376,2,2.10423940417351,0.0393758887341727
Both-One,0.933022515351376,3,0.466449815227209,0.643623560435048
Both-Neither,0.933022515351376,3,3.47395779200208,0.00180523666470993
One-Neither,0.933022515351376,3,2.22183856154693,0.0347532478011057
Both-One,0.933022515351376,4,0.781360116111864,0.449603191195267
Both-Neither,0.933022515351376,4,2.73512908018367,0.00784211113993574
One-Neither,0.933022515351376,4,0.849481389245122,0.405433698639024
Both-One,0.933022515351376,5,6.2328991386144,2.44711917032318e-08
Both-Neither,0.933022515351376,5,6.53257832076869,1.05009395404361e-08
One-Neither,0.933022515351376,5,-0.879565158084844,0.382801045072311
Both-One,0.933022515351376,6,4.6501929468695,1.81447118442373e-05
Both-Neither,0.933022515351376,6,4.5472971058812,1.49335379442605e-05
One-Neither,0.933022515351376,6,-0.31711876077136,0.752322342388743
Both-One,0.933022515351376,7,1.52044675714623,0.144352561764595
Both-Neither,0.933022515351376,7,4.62398314975672,2.2413311917103e-05
One-Neither,0.933022515351376,7,0.749081166981841,0.464390115025545
Both-One,0.933022515351376,8,4.03106491464442,0.000124042595320332
Both-Neither,0.933022515351376,8,4.39178214152221,2.061318600619e-05
One-Neither,0.933022515351376,8,0.0997771374988196,0.920739519200793
Both-One,0.933022515351376,9,1.83974423993845,0.0784712294278407
Both-Neither,0.933022515351376,9,6.23260474009532,4.55943978568409e-09
One-Neither,0.933022515351376,9,1.73419226446836,0.0968983785011857
Both-One,0.933022515351376,10,5.25795869880713,6.69172474009713e-06
Both-Neither,0.933022515351376,10,7.46885135893809,3.86029568399471e-10
One-Neither,0.933022515351376,10,2.07617751546937,0.0627771345932195
Both-One,0.933022515351376,11,4.3991625746401,0.00036333619836229
Both-Neither,0.933022515351376,11,2.9441604645319,0.00421353058793933
One-Neither,0.933022515351376,11,-1.95878317040064,0.0727353928454314
Both-One,0.933022515351376,12,0.20399693975849,0.839900434603946
Both-Neither,0.933022515351376,12,2.15166426544623,0.0334680358788445
One-Neither,0.933022515351376,12,1.12951332182763,0.267289587357579
Both-One,0.933022515351376,13,1.6723494068945,0.10598738764665
Both-Neither,0.933022515351376,13,2.34900312816849,0.0220094378931586
One-Neither,0.933022515351376,13,-0.361915691979349,0.720376921994763
Both-One,0.933022515351376,14,10.0828431199308,1.26349483207292e-17
Both-Neither,0.933022515351376,14,2.96297089167906,0.00366104252728593
One-Neither,0.933022515351376,14,-3.21943961457626,0.00172578267916377
Both-One,0.933022515351376,15,0.916169948876529,0.36402567590438
Both-Neither,0.933022515351376,15,3.45182809207412,0.00130074948404987
One-Neither,0.933022515351376,15,1.85061081364182,0.0711301825306702
Both-One,0.933022515351376,16,3.35127990105138,0.00181122859907097
Both-Neither,0.933022515351376,16,5.97434081283226,7.80580055238651e-07
