Comparison,Threshold,Run,t,p
GlcGlc-CitCit,0.98,1,-3.69253384114196,0.000298547670331107
GlcGlc-GlcCit,0.98,1,-18.5600987519863,3.76261727284535e-49
CitCit-GlcCit,0.98,1,-10.5303033996766,6.20672630893144e-21
GlcGlc-CitCit,0.98,2,3.91234201524753,0.000124667639544634
GlcGlc-GlcCit,0.98,2,-7.70971399886244,8.48035984684997e-13
CitCit-GlcCit,0.98,2,-13.2943540457411,3.67763206543139e-25
GlcGlc-CitCit,0.98,3,-2.23325552327659,0.0292718618826515
GlcGlc-GlcCit,0.98,3,-17.0289586284116,1.58221878875304e-24
CitCit-GlcCit,0.98,3,-10.2489181903637,2.43184637903297e-17
GlcGlc-CitCit,0.98,4,-3.11097097116119,0.0020969416344573
GlcGlc-GlcCit,0.98,4,-12.5844831889237,6.06617357140083e-24
CitCit-GlcCit,0.98,4,-8.29322637733137,4.33895429924688e-14
GlcGlc-CitCit,0.98,5,-0.614723835099449,0.539462100961114
GlcGlc-GlcCit,0.98,5,-20.5070340964904,3.7805277298219e-60
CitCit-GlcCit,0.98,5,-16.8783257400528,9.03609922605143e-38
GlcGlc-CitCit,0.98,6,2.66079572459091,0.0084483700237215
GlcGlc-GlcCit,0.98,6,-14.0688488749867,7.11154327878601e-33
CitCit-GlcCit,0.98,6,-16.0158382430958,6.70622207906077e-32
GlcGlc-CitCit,0.98,7,4.08788056811333,6.47767493975815e-05
GlcGlc-GlcCit,0.98,7,-11.2220951475129,4.09370094502683e-24
CitCit-GlcCit,0.98,7,-14.6069635730673,5.70194043597292e-30
GlcGlc-CitCit,0.98,8,2.19285993434107,0.0294811910830507
GlcGlc-GlcCit,0.98,8,-6.19701967025503,4.47809548066588e-09
CitCit-GlcCit,0.98,8,-9.89971599782371,6.08940768849386e-19
GlcGlc-CitCit,0.98,9,-0.426197988967986,0.670331387162169
GlcGlc-GlcCit,0.98,9,-14.2916964270068,5.21079856864401e-33
CitCit-GlcCit,0.98,9,-14.350665712597,3.46945004401676e-34
GlcGlc-CitCit,0.98,10,5.19944196898573,4.35799922391525e-07
GlcGlc-GlcCit,0.98,10,-9.83622402781968,2.32874997921688e-19
CitCit-GlcCit,0.98,10,-18.1868891533926,2.02578217670372e-45
GlcGlc-CitCit,0.98,11,3.41738676883761,0.00108871479224542
GlcGlc-GlcCit,0.98,11,-6.5087739538741,5.28671191020497e-09
CitCit-GlcCit,0.98,11,-8.08937068306727,7.50126633817822e-12
GlcGlc-CitCit,0.98,12,-3.01615436377498,0.00318565463609138
GlcGlc-GlcCit,0.98,12,-16.4759132900361,1.33192161377336e-42
CitCit-GlcCit,0.98,12,-8.23996121797939,4.15131131200631e-13
GlcGlc-CitCit,0.98,13,-3.35591871115559,0.00142717327576874
GlcGlc-GlcCit,0.98,13,-19.1545147327677,3.53904404402907e-48
CitCit-GlcCit,0.98,13,-6.42089925402458,4.32674185893923e-08
GlcGlc-CitCit,0.98,14,-1.16994942464503,0.243226919661235
GlcGlc-GlcCit,0.98,14,-18.3358971199429,2.09871362591034e-43
CitCit-GlcCit,0.98,14,-15.9839042624935,6.9496514665729e-35
GlcGlc-CitCit,0.98,15,-1.35321066093311,0.17760623187536
GlcGlc-GlcCit,0.98,15,-13.2786532968395,3.8684138623731e-28
CitCit-GlcCit,0.98,15,-9.84651358767856,5.79586912537533e-18
GlcGlc-CitCit,0.98,16,2.81975144883313,0.00528762386764156
GlcGlc-GlcCit,0.98,16,-8.48720211936453,7.24891726561373e-15
CitCit-GlcCit,0.98,16,-10.6609241185819,3.23616637713424e-20
GlcGlc-CitCit,0.98,17,3.05763950278339,0.00271325124491385
GlcGlc-GlcCit,0.98,17,-17.803239627983,2.53430444516704e-50
CitCit-GlcCit,0.98,17,-16.1483103071378,4.71004637509007e-31
GlcGlc-CitCit,0.98,18,3.54463175717729,0.000473216053452047
GlcGlc-GlcCit,0.98,18,-20.4427122222234,7.18245217757552e-55
CitCit-GlcCit,0.98,18,-29.0748281911947,6.6295171353443e-63
GlcGlc-CitCit,0.98,19,-0.292251824006312,0.770404042740899
GlcGlc-GlcCit,0.98,19,-9.06959784814575,2.30926827544269e-15
CitCit-GlcCit,0.98,19,-8.18083936801431,2.03909910041103e-13
